,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
3314,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately Old,,4518.0,,1,1,0,0,1,1,104
3322,house,the laburnum,sector 43,11.0,27160.0,4050.0,Plot area 450(376.26 sq.m.)Built Up area: 360 sq.yards (301.01 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),5,6,3+,3.0,East,New Property,,360.0,350.0,0,1,0,1,0,1,160
3323,house,independent,sector 27,4.25,31481.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),5,5,3+,3.0,East,Relatively New,,161.0,150.0,0,1,0,1,0,1,49
3328,house,independent,sector 24,4.5,33333.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),10,8,3+,4.0,East,Relatively New,,160.0,150.0,0,1,1,0,0,1,56
3331,house,unitech espace,sector 50,7.35,41762.0,1760.0,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately Old,,240.0,,0,1,0,1,0,1,52
3346,house,independent,sector 43,8.49,31444.0,2700.0,Plot area 300(250.84 sq.m.),3,3,2,4.0,North,Relatively New,,2700.0,,0,1,0,1,0,1,21
3356,house,independent,sector 54,3.75,234375.0,160.0,Plot area 160(14.86 sq.m.),4,4,3,3.0,East,Moderately Old,,160.0,,0,1,0,0,0,1,13
3378,house,independent,sector 40,9.5,40135.0,2367.0,Plot area 263(219.9 sq.m.),12,12,3+,4.0,,New Property,,2367.0,,0,0,1,0,0,1,57
3383,house,unitech aspen greens,sector 50,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),3,4,2,1.0,East,Moderately Old,,3240.0,,1,1,0,0,0,1,101
3386,house,independent,sector 38,8.0,230547.0,347.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10,10,3+,1.0,North,Undefined,,347.0,215.0,0,0,0,0,0,0,0
3390,house,dlf city plots phase 2,sector 25,10.75,29861.0,3600.0,Plot area 400(334.45 sq.m.),9,9,3+,3.0,South-West,Old Property,,3600.0,,0,1,1,1,0,0,73
3411,house,international city by sobha phase 1,sector 109,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4,5,3+,2.0,North,Relatively New,,2430.0,,0,1,0,0,0,1,96
3449,house,independent,sector 57,8.0,266666.0,300.0,Plot area 300(27.87 sq.m.),5,4,3,2.0,North,Relatively New,,300.0,,1,1,0,1,0,0,21
3457,house,independent,sector 56,12.39,45889.0,2700.0,Plot area 300(250.84 sq.m.),16,18,3+,4.0,North-East,New Property,,2700.0,,0,1,0,1,0,1,49
3477,house,independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),4,3,2,2.0,East,Relatively New,,1800.0,,0,0,1,0,0,0,21
3497,house,independent,sector 26,15.0,33333.0,4500.0,Built Up area: 4500 (418.06 sq.m.),4,4,3,3.0,,Moderately Old,,4500.0,,0,1,1,0,0,1,36
3519,house,huda plot sector 38,sector 38,4.3,245398.0,175.0,Plot area 163(15.14 sq.m.)Built Up area: 145 sq.ft. (13.47 sq.m.),13,13,3+,5.0,North-West,Relatively New,,145.0,,0,0,0,0,0,2,7
3588,house,international city by sobha phase 1,sector 109,5.9,24280.0,2430.0,Plot area 270(225.75 sq.m.),4,5,2,2.0,East,Relatively New,,2430.0,,0,1,0,0,0,1,111
3593,house,independent,sector 43,7.85,29074.0,2700.0,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively New,,2700.0,,1,1,0,1,1,2,49
3618,house,independent,sector 54,5.0,43066.0,1161.0,Plot area 129(107.86 sq.m.),21,21,3+,5.0,North,Relatively New,,1161.0,,0,1,0,0,0,2,49
3622,flat,birla navya,sector 63a,3.5,25925.0,1350.0,Carpet area: 1350 (125.42 sq.m.),3,3,3,1.0,,Under Construction,,,1350.0,0,0,0,0,0,0,38
3624,house,independent,sector 4,0.67,88157.0,76.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively New,,76.0,,0,0,0,0,1,0,7
3646,house,independent,sector 7,1.35,40909.0,330.0,Built Up area: 330 (30.66 sq.m.),4,5,0,3.0,,Undefined,,330.0,,0,0,0,0,0,0,0
3652,house,emaar mgf marbella,sector 66,8.8,41615.0,2115.0,Built Up area: 267 (223.25 sq.m.),4,4,3+,3.0,South-East,Relatively New,,267.0,,0,1,1,1,0,0,107
3658,house,unitech aspen greens,sector 50,6.8,31481.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,Old Property,,220.0,200.0,1,1,0,0,0,1,111
3666,house,vipul tatvam villa,sector 48,8.2,25309.0,3240.0,Plot area 360(301.01 sq.m.),3,3,2,2.0,North,Moderately Old,,3240.0,,1,1,0,1,0,2,160
3693,house,malibu towne,sector 47,1.15,41818.0,275.0,Plot area 275(25.55 sq.m.),3,3,3,2.0,North-East,Old Property,,275.0,,0,0,0,0,0,1,33
3698,house,independent,sector 55,9.19,34037.0,2700.0,Plot area 300(250.84 sq.m.),16,18,2,4.0,West,New Property,,2700.0,,0,1,0,1,0,1,49
3699,house,independent,sector 50,10.56,32593.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,3.0,,Moderately Old,,3240.0,,0,1,0,0,0,0,20
3713,house,independent,sector 41,4.25,26235.0,1620.0,Plot area 180(150.5 sq.m.),10,9,3+,4.0,North,Moderately Old,,1620.0,,1,1,0,0,0,1,36
3714,house,unitech espace,sector 50,9.8,30247.0,3240.0,Plot area 360(301.01 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 280 sq.yards (234.12 sq.m.),4,4,3,2.0,North-West,Moderately Old,,300.0,280.0,0,1,0,0,0,0,22
3750,flat,puri the aravallis,sector 61,3.9,33209.0,1174.0,Carpet area: 1249.65 (116.1 sq.m.),3,4,3+,33.0,South,Under Construction,,,1249.68879,0,1,0,0,0,0,158
3762,house,independent,sector 48,8.4,25926.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,2.0,,Old Property,,3240.0,,0,1,0,1,0,1,15
3768,house,huda sector-56 gurgaon,sector 56,3.6,24845.0,1449.0,Plot area 161(134.62 sq.m.),5,5,3+,3.0,North-East,Moderately Old,,1449.0,,0,0,0,0,1,0,47
3774,house,independent,sector 28,0.45,90000.0,50.0,Built Up area: 50 (4.65 sq.m.),5,3,0,1.0,,Undefined,,50.0,,0,0,0,0,0,0,0
3791,house,international city by sobha phase 2,sector 109,6.44,26502.0,2430.0,Plot area 270(225.75 sq.m.),4,5,3+,3.0,North-East,New Property,,2430.0,,1,1,1,1,0,0,138
3794,house,independent,sector 27,8.0,26298.0,3042.0,Plot area 338(282.61 sq.m.),9,9,3,4.0,North-East,Relatively New,,3042.0,,1,1,1,1,0,2,110
3801,house,independent,sector 43,15.5,28233.0,5490.0,Plot area 610(510.04 sq.m.),5,6,3,3.0,East,Moderately Old,,5490.0,,1,1,1,1,0,0,76
